SP1,04/11/2018,Sociedad,Sevilla,0,0,null,null,null,null,null,null,1,1,1,1,3,5,12,12,0.6,1,2,2;
SP1,04/11/2018,Villarreal,Levante,1,1,null,null,null,null,null,null,1,1,3,3,3,6,8,5,0.5,1,1.33,0.83;
SP1,05/11/2018,Espanol,Ath Bilbao,1,0,null,null,null,null,null,null,5,5,1,1,8,1,6,5,1.6,0.2,1.2,1;
SP1,09/11/2018,Levante,Sociedad,1,3,null,null,null,null,null,null,3,3,1,1,10,14,10,11,1.67,2.33,1.43,1.57;
SP1,10/11/2018,Ath Madrid,Ath Bilbao,3,2,null,null,null,null,null,null,4,4,1,1,11,3,9,7,1.83,0.5,1.5,1.17;
SP1,10/11/2018,Getafe,Valencia,0,1,null,null,null,null,null,null,2,2,1,1,4,4,4,4,0.67,0.67,0.67,0.67;
SP1,10/11/2018,Girona,Leganes,0,0,null,null,null,null,null,null,2,2,1,1,8,11,10,4,1.14,1.57,1.43,0.57;
SP1,10/11/2018,Valladolid,Eibar,0,0,null,null,null,null,null,null,1,1,1,1,4,4,10,4,0.67,0.67,1.67,0.67;
SP1,11/11/2018,Alaves,Huesca,2,1,null,null,null,null,null,null,3,3,1,1,8,4,20,7,1.33,0.67,2.86,1;
SP1,11/11/2018,Barcelona,Betis,3,4,null,null,null,null,null,null,3,3,1,1,26,12,6,5,3.71,1.71,1,0.83;
SP1,11/11/2018,Celta,Real Madrid,2,4,null,null,null,null,null,null,2,2,1,1,13,10,13,10,1.86,1.43,2.17,1.67;
SP1,11/11/2018,Sevilla,Espanol,2,1,null,null,null,null,null,null,4,4,1,1,9,5,9,8,1.5,0.83,1.29,1.14;
SP1,11/11/2018,Vallecano,Villarreal,2,2,null,null,null,null,null,null,1,1,1,1,10,19,7,8,1.43,2.71,1.17,1.33;
SP1,23/11/2018,Leganes,Alaves,1,0,null,null,null,null,null,null,1,1,1,1,7,5,6,12,1.17,0.83,0.86,1.71;
SP1,24/11/2018,Ath Madrid,Barcelona,1,1,null,null,null,null,null,null,5,5,2,2,12,4,7,9,1.71,0.57,1.17,1.5;
